Modus,Zeit
e,20:24:19 05.09.2023
a,20:24:26 05.09.2023
e,20:24:38 05.09.2023
a,20:24:48 05.09.2023
e,20:27:19 05.09.2023
a,20:27:58 05.09.2023
e,20:33:21 05.09.2023
a,20:33:32 05.09.2023
e,19:55:21 07.09.2023
a,19:55:30 07.09.2023
e,19:55:53 07.09.2023
a,19:56:02 07.09.2023
